title,difficult,count_star,count_pass,count_commit,href
复制带随机指针的链表,中等,94,"6,131","20,693",https://leetcode-cn.com/problems/copy-list-with-random-pointer
单词拆分,中等,107,"8,762","21,615",https://leetcode-cn.com/problems/word-break
单词拆分 II,困难,44,"3,230","8,795",https://leetcode-cn.com/problems/word-break-ii
环形链表,简单,280,"38,604","99,274",https://leetcode-cn.com/problems/linked-list-cycle
环形链表 II,中等,159,"15,178","39,482",https://leetcode-cn.com/problems/linked-list-cycle-ii
重排链表,中等,69,"4,730","9,704",https://leetcode-cn.com/problems/reorder-list
二叉树的前序遍历,中等,106,"21,192","35,694",https://leetcode-cn.com/problems/binary-tree-preorder-traversal
二叉树的后序遍历,困难,120,"15,779","24,351",https://leetcode-cn.com/problems/binary-tree-postorder-traversal
LRU缓存机制,困难,139,"7,508","18,656",https://leetcode-cn.com/problems/lru-cache
对链表进行插入排序,中等,51,"6,186","10,844",https://leetcode-cn.com/problems/insertion-sort-list
排序链表,中等,182,"12,045","20,161",https://leetcode-cn.com/problems/sort-list
直线上最多的点数,困难,53,"2,607","15,602",https://leetcode-cn.com/problems/max-points-on-a-line
逆波兰表达式求值,中等,51,"7,860","17,953",https://leetcode-cn.com/problems/evaluate-reverse-polish-notation
翻转字符串里的单词,中等,49,"9,570","39,404",https://leetcode-cn.com/problems/reverse-words-in-a-string
乘积最大子序列,中等,170,"9,206","27,417",https://leetcode-cn.com/problems/maximum-product-subarray
寻找旋转排序数组中的最小值,中等,52,"8,849","18,046",https://leetcode-cn.com/problems/find-minimum-in-rotated-sorted-array
寻找旋转排序数组中的最小值 II,困难,35,"3,840","8,736",https://leetcode-cn.com/problems/find-minimum-in-rotated-sorted-array-ii
最小栈,简单,202,"25,074","51,736",https://leetcode-cn.com/problems/min-stack
相交链表,简单,288,"24,794","59,081",https://leetcode-cn.com/problems/intersection-of-two-linked-lists
寻找峰值,中等,52,"9,750","24,767",https://leetcode-cn.com/problems/find-peak-element
最大间距,困难,47,"2,944","5,961",https://leetcode-cn.com/problems/maximum-gap
比较版本号,中等,30,"3,189","10,888",https://leetcode-cn.com/problems/compare-version-numbers
分数到小数,中等,34,"2,674","11,480",https://leetcode-cn.com/problems/fraction-to-recurring-decimal
Excel表列名称,简单,108,"7,646","23,950",https://leetcode-cn.com/problems/excel-sheet-column-title
求众数,简单,235,"39,521","67,278",https://leetcode-cn.com/problems/majority-element
Excel表列序号,简单,61,"13,000","20,403",https://leetcode-cn.com/problems/excel-sheet-column-number
阶乘后的零,简单,116,"11,368","29,850",https://leetcode-cn.com/problems/factorial-trailing-zeroes
二叉搜索树迭代器,中等,56,"4,103","6,736",https://leetcode-cn.com/problems/binary-search-tree-iterator
地下城游戏,困难,76,"1,974","5,827",https://leetcode-cn.com/problems/dungeon-game
组合两个表,简单,358,"41,458","60,981",https://leetcode-cn.com/problems/combine-two-tables
第二高的薪水,简单,290,"29,185","96,300",https://leetcode-cn.com/problems/second-highest-salary
第N高的薪水,中等,146,"12,842","32,993",https://leetcode-cn.com/problems/nth-highest-salary
分数排名,中等,231,"12,414","23,830",https://leetcode-cn.com/problems/rank-scores
最大数,中等,104,"5,598","17,891",https://leetcode-cn.com/problems/largest-number
连续出现的数字,中等,110,"9,032","20,776",https://leetcode-cn.com/problems/consecutive-numbers
超过经理收入的员工,简单,151,"19,677","30,902",https://leetcode-cn.com/problems/employees-earning-more-than-their-managers
查找重复的电子邮箱,简单,107,"24,976","33,600",https://leetcode-cn.com/problems/duplicate-emails
从不订购的客户,简单,89,"18,621","30,832",https://leetcode-cn.com/problems/customers-who-never-order
部门工资最高的员工,中等,116,"10,928","29,677",https://leetcode-cn.com/problems/department-highest-salary
部门工资前三高的员工,困难,168,"7,375","22,538",https://leetcode-cn.com/problems/department-top-three-salaries
重复的DNA序列,中等,24,"2,862","6,847",https://leetcode-cn.com/problems/repeated-dna-sequences
买卖股票的最佳时机 IV,困难,73,"2,327","8,526",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-iv
旋转数组,简单,279,"47,130","126,773",https://leetcode-cn.com/problems/rotate-array
颠倒二进制位,简单,67,"12,316","30,730",https://leetcode-cn.com/problems/reverse-bits
位1的个数,简单,66,"18,751","36,082",https://leetcode-cn.com/problems/number-of-1-bits
统计词频,中等,51,"3,079","10,587",https://leetcode-cn.com/problems/word-frequency
有效电话号码,简单,28,"3,541","14,441",https://leetcode-cn.com/problems/valid-phone-numbers
转置文件,中等,21,"1,661","5,143",https://leetcode-cn.com/problems/transpose-file
第十行,简单,39,"5,764","14,863",https://leetcode-cn.com/problems/tenth-line
删除重复的电子邮箱,简单,121,"12,260","23,525",https://leetcode-cn.com/problems/delete-duplicate-emails
上升的温度,简单,65,"11,058","25,635",https://leetcode-cn.com/problems/rising-temperature
打家劫舍,简单,330,"23,939","60,022",https://leetcode-cn.com/problems/house-robber
二叉树的右视图,中等,67,"4,750","8,237",https://leetcode-cn.com/problems/binary-tree-right-side-view
岛屿的个数,中等,147,"13,195","30,946",https://leetcode-cn.com/problems/number-of-islands
数字范围按位与,中等,34,"2,301","5,899",https://leetcode-cn.com/problems/bitwise-and-of-numbers-range
快乐数,简单,112,"17,204","32,565",https://leetcode-cn.com/problems/happy-number
移除链表元素,简单,228,"23,801","58,435",https://leetcode-cn.com/problems/remove-linked-list-elements
计数质数,简单,152,"16,928","61,576",https://leetcode-cn.com/problems/count-primes
同构字符串,简单,92,"10,184","23,158",https://leetcode-cn.com/problems/isomorphic-strings
反转链表,简单,420,"55,062","90,463",https://leetcode-cn.com/problems/reverse-linked-list
课程表,中等,84,"4,284","9,398",https://leetcode-cn.com/problems/course-schedule
实现 Trie (前缀树),中等,65,"6,069","10,492",https://leetcode-cn.com/problems/implement-trie-prefix-tree
长度最小的子数组,中等,95,"9,026","23,664",https://leetcode-cn.com/problems/minimum-size-subarray-sum
课程表 II,中等,34,"2,660","5,778",https://leetcode-cn.com/problems/course-schedule-ii
添加与搜索单词 - 数据结构设计,中等,45,"2,300","5,826",https://leetcode-cn.com/problems/add-and-search-word-data-structure-design
单词搜索 II,困难,34,"2,232","6,788",https://leetcode-cn.com/problems/word-search-ii
打家劫舍 II,中等,90,"5,229","15,933",https://leetcode-cn.com/problems/house-robber-ii
最短回文串,困难,49,"1,768","5,675",https://leetcode-cn.com/problems/shortest-palindrome
数组中的第K个最大元素,中等,165,"23,941","42,141",https://leetcode-cn.com/problems/kth-largest-element-in-an-array
组合总和 III,中等,45,"4,142","6,253",https://leetcode-cn.com/problems/combination-sum-iii
存在重复元素,简单,135,"54,993","114,695",https://leetcode-cn.com/problems/contains-duplicate
天际线问题,困难,36,"1,123","2,972",https://leetcode-cn.com/problems/the-skyline-problem
存在重复元素 II,简单,80,"12,908","37,769",https://leetcode-cn.com/problems/contains-duplicate-ii
存在重复元素 III,中等,60,"4,374","18,395",https://leetcode-cn.com/problems/contains-duplicate-iii
最大正方形,中等,84,"4,991","13,571",https://leetcode-cn.com/problems/maximal-square
完全二叉树的节点个数,中等,62,"3,872","8,183",https://leetcode-cn.com/problems/count-complete-tree-nodes
矩形面积,中等,22,"2,050","5,065",https://leetcode-cn.com/problems/rectangle-area
基本计算器,困难,61,"1,966","6,292",https://leetcode-cn.com/problems/basic-calculator
用队列实现栈,简单,47,"9,883","16,906",https://leetcode-cn.com/problems/implement-stack-using-queues
翻转二叉树,简单,197,"15,720","22,737",https://leetcode-cn.com/problems/invert-binary-tree
基本计算器 II,中等,36,"2,848","9,156",https://leetcode-cn.com/problems/basic-calculator-ii
汇总区间,中等,19,"2,249","4,783",https://leetcode-cn.com/problems/summary-ranges
求众数 II,中等,64,"3,947","9,849",https://leetcode-cn.com/problems/majority-element-ii
二叉搜索树中第K小的元素,中等,67,"11,513","18,079",https://leetcode-cn.com/problems/kth-smallest-element-in-a-bst
用栈实现队列,简单,72,"10,752","18,053",https://leetcode-cn.com/problems/implement-queue-using-stacks
数字 1 的个数,困难,50,"1,575","5,680",https://leetcode-cn.com/problems/number-of-digit-one
回文链表,简单,203,"22,566","61,706",https://leetcode-cn.com/problems/palindrome-linked-list
二叉搜索树的最近公共祖先,简单,107,"13,088","22,256",https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-search-tree
二叉树的最近公共祖先,中等,164,"12,449","23,253",https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-tree
删除链表中的节点,简单,333,"30,474","41,885",https://leetcode-cn.com/problems/delete-node-in-a-linked-list
除自身以外数组的乘积,中等,152,"9,097","15,060",https://leetcode-cn.com/problems/product-of-array-except-self
滑动窗口最大值,困难,82,"6,302","15,458",https://leetcode-cn.com/problems/sliding-window-maximum
搜索二维矩阵 II,中等,93,"14,357","39,181",https://leetcode-cn.com/problems/search-a-2d-matrix-ii
为运算表达式设计优先级,中等,48,"1,856","2,751",https://leetcode-cn.com/problems/different-ways-to-add-parentheses
有效的字母异位词,简单,76,"28,681","54,764",https://leetcode-cn.com/problems/valid-anagram
二叉树的所有路径,简单,113,"8,653","14,975",https://leetcode-cn.com/problems/binary-tree-paths
各位相加,简单,135,"13,932","22,083",https://leetcode-cn.com/problems/add-digits
只出现一次的数字 III,中等,78,"4,827","7,551",https://leetcode-cn.com/problems/single-number-iii
行程和用户,困难,62,"4,236","10,476",https://leetcode-cn.com/problems/trips-and-users
丑数,简单,52,"9,210","19,951",https://leetcode-cn.com/problems/ugly-number
丑数 II,中等,83,"4,732","10,815",https://leetcode-cn.com/problems/ugly-number-ii
缺失数字,简单,117,"19,306","38,590",https://leetcode-cn.com/problems/missing-number
整数转换英文表示,困难,23,799,"3,752",https://leetcode-cn.com/problems/integer-to-english-words
H指数,中等,22,"2,425","7,141",https://leetcode-cn.com/problems/h-index
H指数 II,中等,9,"1,592","4,216",https://leetcode-cn.com/problems/h-index-ii
第一个错误的版本,简单,70,"16,365","53,120",https://leetcode-cn.com/problems/first-bad-version
完全平方数,中等,121,"9,412","19,174",https://leetcode-cn.com/problems/perfect-squares
给表达式添加运算符,困难,21,428,"1,373",https://leetcode-cn.com/problems/expression-add-operators
移动零,简单,316,"44,637","82,758",https://leetcode-cn.com/problems/move-zeroes
顶端迭代器,中等,13,"1,007","1,512",https://leetcode-cn.com/problems/peeking-iterator
寻找重复数,中等,183,"9,530","16,172",https://leetcode-cn.com/problems/find-the-duplicate-number
生命游戏,中等,39,"2,412","3,909",https://leetcode-cn.com/problems/game-of-life
单词模式,简单,72,"6,860","17,684",https://leetcode-cn.com/problems/word-pattern
Nim 游戏,简单,151,"15,717","23,090",https://leetcode-cn.com/problems/nim-game
数据流的中位数,困难,43,"2,624","7,659",https://leetcode-cn.com/problems/find-median-from-data-stream
二叉树的序列化与反序列化,困难,45,"4,066","10,611",https://leetcode-cn.com/problems/serialize-and-deserialize-binary-tree
猜数字游戏,中等,18,"2,031","4,660",https://leetcode-cn.com/problems/bulls-and-cows
最长上升子序列,中等,176,"12,147","29,608",https://leetcode-cn.com/problems/longest-increasing-subsequence
删除无效的括号,困难,27,"1,045","2,659",https://leetcode-cn.com/problems/remove-invalid-parentheses
区域和检索 - 数组不可变,简单,72,"10,629","20,031",https://leetcode-cn.com/problems/range-sum-query-immutable
二维区域和检索 - 矩阵不可变,中等,28,"1,616","4,128",https://leetcode-cn.com/problems/range-sum-query-2d-immutable
累加数,中等,23,"1,198","3,989",https://leetcode-cn.com/problems/additive-number
区域和检索 - 数组可修改,中等,46,"2,331","4,738",https://leetcode-cn.com/problems/range-sum-query-mutable
最佳买卖股票时机含冷冻期,中等,82,"2,993","6,439",https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-with-cooldown
最小高度树,中等,37,"1,193","3,539",https://leetcode-cn.com/problems/minimum-height-trees
戳气球,困难,77,"1,571","2,960",https://leetcode-cn.com/problems/burst-balloons
超级丑数,中等,24,"1,563","2,851",https://leetcode-cn.com/problems/super-ugly-number
计算右侧小于当前元素的个数,困难,58,"2,466","6,549",https://leetcode-cn.com/problems/count-of-smaller-numbers-after-self
最大单词长度乘积,中等,40,"1,677","3,004",https://leetcode-cn.com/problems/maximum-product-of-word-lengths
灯泡开关,中等,43,"2,532","6,341",https://leetcode-cn.com/problems/bulb-switcher
拼接最大数,困难,28,521,"2,040",https://leetcode-cn.com/problems/create-maximum-number
零钱兑换,中等,130,"9,616","30,419",https://leetcode-cn.com/problems/coin-change
摆动排序 II,中等,35,"2,131","6,899",https://leetcode-cn.com/problems/wiggle-sort-ii
3的幂,简单,55,"17,114","39,105",https://leetcode-cn.com/problems/power-of-three
区间和的个数,困难,24,510,"1,571",https://leetcode-cn.com/problems/count-of-range-sum
奇偶链表,中等,59,"9,744","17,389",https://leetcode-cn.com/problems/odd-even-linked-list
矩阵中的最长递增路径,困难,49,"2,149","5,739",https://leetcode-cn.com/problems/longest-increasing-path-in-a-matrix
按要求补齐数组,困难,26,525,"1,381",https://leetcode-cn.com/problems/patching-array
验证二叉树的前序序列化,中等,29,"1,424","3,440",https://leetcode-cn.com/problems/verify-preorder-serialization-of-a-binary-tree
重新安排行程,中等,32,874,"2,918",https://leetcode-cn.com/problems/reconstruct-itinerary
递增的三元子序列,中等,55,"5,812","17,238",https://leetcode-cn.com/problems/increasing-triplet-subsequence
路径交叉,困难,8,311,"1,141",https://leetcode-cn.com/problems/self-crossing
回文对,困难,23,748,"2,825",https://leetcode-cn.com/problems/palindrome-pairs
打家劫舍 III,中等,102,"3,048","5,729",https://leetcode-cn.com/problems/house-robber-iii
比特位计数,中等,132,"7,746","10,846",https://leetcode-cn.com/problems/counting-bits
扁平化嵌套列表迭代器,中等,33,"1,640","2,810",https://leetcode-cn.com/problems/flatten-nested-list-iterator
4的幂,简单,51,"7,788","17,191",https://leetcode-cn.com/problems/power-of-four
整数拆分,中等,78,"5,062","10,127",https://leetcode-cn.com/problems/integer-break
反转字符串,简单,135,"48,405","73,222",https://leetcode-cn.com/problems/reverse-string
反转字符串中的元音字母,简单,46,"9,013","19,413",https://leetcode-cn.com/problems/reverse-vowels-of-a-string
前K个高频元素,中等,115,"11,061","19,787",https://leetcode-cn.com/problems/top-k-frequent-elements
两个数组的交集,简单,90,"19,600","31,393",https://leetcode-cn.com/problems/intersection-of-two-arrays
两个数组的交集 II,简单,143,"32,220","78,299",https://leetcode-cn.com/problems/intersection-of-two-arrays-ii
将数据流变为多个不相交区间,困难,5,311,590,https://leetcode-cn.com/problems/data-stream-as-disjoint-intervals
俄罗斯套娃信封问题,困难,42,"2,075","6,567",https://leetcode-cn.com/problems/russian-doll-envelopes
设计推特,中等,21,668,"2,061",https://leetcode-cn.com/problems/design-twitter
计算各个位数不同的数字个数,中等,26,"2,106","4,726",https://leetcode-cn.com/problems/count-numbers-with-unique-digits
矩形区域不超过 K 的最大数值和,困难,32,459,"1,430",https://leetcode-cn.com/problems/max-sum-of-rectangle-no-larger-than-k
查找和最小的K对数字,中等,29,"1,174","3,287",https://leetcode-cn.com/problems/find-k-pairs-with-smallest-sums
猜数字大小,简单,29,"6,580","17,366",https://leetcode-cn.com/problems/guess-number-higher-or-lower
